TEAM_ID,PLAYER_NAME,PLAYER_ID,TEAM_NBACOM,POS,ROLE,GP,MIN,POSS,PTS,REB,AST,STL,BLK,TOV,FG2_PCT,FG3_PCT,OREB,DREB,FG3A,AT_RIM_FGA,AT_RIM_FREQUENCY,AT_RIM_ACCURACY,MID_FGA,MID_FREQUENCY,MID_ACCURACY,THREE_FREQUENCY,THREE_ACCURACY,rTS,USG_PCT,BOX_CREATION,OFF_LOAD,FTA_RATE,OREB_PCT,DREB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT
1610612738,Derrick White,1628401,BOS,SG,Combo,69,2364,4752,1188,309,381,83,95,123,0.489,0.325,76,233,597,103,0.099,0.718,337,0.325,0.418,0.576,0.325,-3.1,22.8,6.4,36.8,0.188,3.6,10.6,23.1,1.8,4.1,9.9
1610612753,Desmond Bane,1630217,ORL,SG,Combo,73,2498,5278,1488,304,308,75,31,145,0.54,0.387,88,216,383,331,0.303,0.625,376,0.344,0.465,0.353,0.387,4.8,23.3,6.1,34.6,0.274,3.9,9.8,19.4,1.5,1.1,10.6
1610612756,Devin Booker,1626164,PHX,SG,Combo,57,1911,4020,1452,223,339,47,17,183,0.508,0.322,43,180,326,161,0.152,0.665,570,0.539,0.463,0.308,0.322,1.7,32.1,10,49.3,0.43,2.4,10.8,29.7,1.2,0.9,12.7
1610612758,Devin Carter,1642269,SAC,PG,Point,30,473,1001,231,81,67,25,5,38,0.512,0.234,23,58,78,57,0.282,0.684,68,0.337,0.368,0.381,0.234,-5.8,24.1,4.6,35.1,0.305,5.3,14.1,20.6,2.6,1,14.2
1610612759,Devin Vassell,1630170,SAS,SG,Combo,58,1772,3757,823,223,146,48,22,53,0.516,0.386,31,192,377,62,0.094,0.597,219,0.332,0.493,0.574,0.386,1.9,18.2,2.9,25.3,0.178,1.9,11.3,11.3,1.3,1.1,6.9
1610612756,Dillon Brooks,1628415,PHX,SF,Forward,50,1530,3203,1044,183,88,52,8,89,0.502,0.343,39,144,341,97,0.111,0.67,433,0.497,0.464,0.392,0.343,-1.3,29,3.9,37.4,0.216,2.7,10.8,9.7,1.7,0.5,8.5
1610612752,Dillon Jones,1641794,NYK,SF,Wing,6,27,59,7,6,4,2,0,0,NA,NA,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,-10.9,12.3,NA,NA,0.667,8.2,16.6,17.4,3.7,0,0
1610612758,Domantas Sabonis,1627734,SAC,C,Big,19,564,1199,301,216,78,18,4,51,0.593,0.185,64,152,27,124,0.561,0.661,70,0.317,0.471,0.122,0.185,3,23.1,4.2,33.4,0.348,12.3,30.9,21.3,1.5,0.6,16.7
1610612755,Dominick Barlow,1631230,PHI,PF,Forward,62,1498,3158,500,297,80,56,44,52,0.609,0.269,120,177,79,203,0.553,0.719,86,0.234,0.349,0.213,0.269,3.6,13.3,1,17.6,0.324,8.6,13.2,7.3,1.8,2.8,11
1610612757,Donovan Clingan,1642270,POR,C,Big,69,1880,4009,854,811,150,41,115,85,0.629,0.338,316,495,219,332,0.537,0.669,67,0.108,0.433,0.354,0.338,4.8,17,2.7,24.4,0.311,17.9,28.8,11.8,1,5.4,10.8
1610612739,Donovan Mitchell,1628378,CLE,SG,Combo,64,2150,4610,1808,288,368,96,18,182,0.574,0.366,46,242,584,280,0.215,0.657,441,0.338,0.522,0.448,0.366,5.1,32.5,11,49.8,0.302,2.3,12.4,28.4,2.1,0.8,11
1610612750,Donte DiVincenzo,1628978,MIN,SG,Combo,73,2257,4803,897,317,293,99,28,109,0.503,0.383,65,252,567,101,0.136,0.584,74,0.1,0.392,0.764,0.383,1.3,16.7,3.9,25.9,0.124,3.2,12,17.3,2.1,1.1,12.2
1610612745,Dorian Finney-Smith,1627827,HOU,PF,Forward,35,590,1213,107,89,34,15,6,22,0.481,0.269,32,57,93,22,0.183,0.545,5,0.042,0.2,0.775,0.269,-12.5,10.3,0.2,14.2,0.058,6.1,10.6,7.1,1.3,0.9,15.2
1610612758,Doug McDermott,203926,SAC,SF,Wing,22,309,657,117,23,14,4,3,9,0.556,0.402,4,19,87,3,0.031,0.667,6,0.062,0.5,0.906,0.402,4.4,14.6,1.1,18.5,0.021,1.4,7.1,6.2,0.6,0.9,8.5
